OU Size: 4x4
layer,time_s,energy_J
6,8.696679e-04,5.081556e-05
7,8.346549e-04,5.081556e-05
8,2.098839e-04,2.540778e-05
9,2.124678e-04,5.081556e-05
10,2.142317e-04,5.081556e-05
11,5.266565e-05,1.270389e-05
12,5.252105e-05,1.270389e-05
13,5.313992e-05,1.270389e-05
14,2.581826e-08,2.823096e-08
15,2.961364e-07,4.609121e-07
16,2.713069e-07,1.125274e-07
Total,,,
Latency (max),4.783032e-03,
Energy (sum),,4.222120e-04,
EDP, , ,2.019453e-06

OU Size: 12x16
layer,time_s,energy_J
1,1.681535e-04,2.385881e-06
2,3.587274e-03,5.089879e-05
3,1.793637e-03,2.544940e-05
4,3.020869e-03,5.089879e-05
5,6.734153e-04,2.544940e-05
6,6.522509e-04,5.089879e-05
7,6.259912e-04,5.089879e-05
8,1.574129e-04,2.544940e-05
9,1.593508e-04,5.089879e-05
10,1.606737e-04,5.089879e-05
11,3.949924e-05,1.272470e-05
12,3.939079e-05,1.272470e-05
13,3.985494e-05,1.272470e-05
14,1.936370e-08,2.827720e-08
15,2.221023e-07,4.616670e-07
16,2.034802e-07,1.127117e-07
Total,,,
Latency (max),3.587274e-03,
Energy (sum),,4.229036e-04,
EDP, , ,1.517071e-06

OU Size: 12x20
layer,time_s,energy_J
1,1.345228e-04,2.389783e-06
2,2.869819e-03,5.098203e-05
3,1.434910e-03,2.549101e-05
4,2.416695e-03,5.098203e-05
5,5.387323e-04,2.549101e-05
6,5.218007e-04,5.098203e-05
7,5.007929e-04,5.098203e-05
8,1.259303e-04,2.549101e-05
9,1.274807e-04,5.098203e-05
10,1.285390e-04,5.098203e-05
11,3.159939e-05,1.274551e-05
12,3.151263e-05,1.274551e-05
13,3.188395e-05,1.274551e-05
14,1.549096e-08,2.832345e-08
15,1.776818e-07,4.624220e-07
16,1.627841e-07,1.128960e-07
Total,,,
Latency (max),2.869819e-03,
Energy (sum),,4.235951e-04,
EDP, , ,1.215641e-06

OU Size: 12x24
layer,time_s,energy_J
1,1.121023e-04,2.393684e-06
2,2.391516e-03,5.106526e-05
3,1.195758e-03,2.553263e-05
4,2.013913e-03,5.106526e-05
5,4.489436e-04,2.553263e-05
6,4.348339e-04,5.106526e-05
7,4.173275e-04,5.106526e-05
8,1.049420e-04,2.553263e-05
9,1.062339e-04,5.106526e-05
10,1.071158e-04,5.106526e-05
11,2.633283e-05,1.276632e-05
12,2.626053e-05,1.276632e-05
13,2.656996e-05,1.276632e-05
14,1.290913e-08,2.836969e-08
15,1.480682e-07,4.631770e-07
16,1.356534e-07,1.130803e-07
Total,,,
Latency (max),2.391516e-03,
Energy (sum),,4.242867e-04,
EDP, , ,1.014688e-06

OU Size: 12x28
layer,time_s,energy_J
1,9.608769e-05,2.397586e-06
2,2.049871e-03,5.114850e-05
3,1.024935e-03,2.557425e-05
4,1.726211e-03,5.114850e-05
