OU Size: 4x4
layer,time_s,energy_J
6,2.492211e-02,7.247771e-05
7,2.492211e-02,7.247771e-05
8,1.246106e-02,3.623886e-05
9,1.410461e-02,7.247771e-05
10,2.492211e-02,7.247771e-05
11,4.062026e-03,1.811943e-05
12,6.230528e-03,1.811943e-05
13,5.557599e-03,1.811943e-05
14,5.381070e-06,4.026553e-08
15,6.172106e-05,6.573942e-07
16,4.033272e-05,1.604966e-07
Total,,,
Latency (max),2.492211e-02,
Energy (sum),,6.021967e-04,
EDP, , ,1.500801e-05

OU Size: 4x84
layer,time_s,energy_J
1,1.112594e-03,3.543706e-06
2,2.373535e-02,7.559906e-05
3,1.186767e-02,3.779953e-05
4,2.373535e-02,7.559906e-05
5,1.186767e-02,3.779953e-05
6,2.373535e-02,7.559906e-05
7,2.373535e-02,7.559906e-05
8,1.186767e-02,3.779953e-05
9,1.343296e-02,7.559906e-05
10,2.373535e-02,7.559906e-05
11,3.868596e-03,1.889977e-05
12,5.933836e-03,1.889977e-05
13,5.292952e-03,1.889977e-05
14,5.124828e-06,4.199962e-08
15,5.878196e-05,6.857058e-07
16,3.841212e-05,1.674086e-07
Total,,,
Latency (max),2.373535e-02,
Energy (sum),,6.281311e-04,
EDP, , ,1.490891e-05

OU Size: 4x88
layer,time_s,energy_J
1,1.062022e-03,3.690019e-06
2,2.265647e-02,7.872041e-05
3,1.132823e-02,3.936021e-05
4,2.265647e-02,7.872041e-05
5,1.132823e-02,3.936021e-05
6,2.265647e-02,7.872041e-05
7,2.265647e-02,7.872041e-05
8,1.132823e-02,3.936021e-05
9,1.282237e-02,7.872041e-05
10,2.265647e-02,7.872041e-05
11,3.692751e-03,1.968010e-05
12,5.664117e-03,1.968010e-05
13,5.052363e-03,1.968010e-05
14,4.891882e-06,4.373371e-08
15,5.611006e-05,7.140173e-07
16,3.666611e-05,1.743206e-07
Total,,,
Latency (max),2.265647e-02,
Energy (sum),,6.540655e-04,
EDP, , ,1.481881e-05

OU Size: 4x92
layer,time_s,energy_J
1,1.015847e-03,3.836333e-06
2,2.167140e-02,8.184176e-05
3,1.083570e-02,4.092088e-05
4,2.167140e-02,8.184176e-05
5,1.083570e-02,4.092088e-05
6,2.167140e-02,8.184176e-05
7,2.167140e-02,8.184176e-05
8,1.083570e-02,4.092088e-05
9,1.226488e-02,8.184176e-05
10,2.167140e-02,8.184176e-05
11,3.532196e-03,2.046044e-05
12,5.417851e-03,2.046044e-05
13,4.832695e-03,2.046044e-05
14,4.679191e-06,4.546780e-08
15,5.367049e-05,7.423289e-07
16,3.507193e-05,1.812326e-07
Total,,,
Latency (max),2.167140e-02,
Energy (sum),,6.799999e-04,
EDP, , ,1.473655e-05

OU Size: 4x96
layer,time_s,energy_J
1,9.735200e-04,3.982646e-06
2,2.076843e-02,8.496311e-05
3,1.038421e-02,4.248155e-05
4,2.076843e-02,8.496311e-05
5,1.038421e-02,4.248155e-05
6,2.076843e-02,8.496311e-05
7,2.076843e-02,8.496311e-05
8,1.038421e-02,4.248155e-05
9,1.175384e-02,8.496311e-05
10,2.076843e-02,8.496311e-05
11,3.385021e-03,2.124078e-05
12,5.192107e-03,2.124078e-05
13,4.631333e-03,2.124078e-05
14,4.484225e-06,4.720189e-08
15,5.143422e-05,7.706404e-07
16,3.361060e-05,1.881446e-07
Total,,,
Latency (max),2.076843e-02,
Energy (sum),,7.059343e-04,
EDP, , ,1.466114e-05

OU Size: 4x100
layer,time_s,energy_J
1,9.345792e-04,4.128959e-06
2,1.993769e-02,8.808446e-05
3,9.968845e-03,4.404223e-05
4,1.993769e-02,8.808446e-05
5,9.968845e-03,4.404223e-05
6,1.993769e-02,8.808446e-05
7,1.993769e-02,8.808446e-05
8,9.968845e-03,4.404223e-05
9,1.128369e-02,8.808446e-05
10,1.993769e-02,8.808446e-05
11,3.249620e-03,2.202111e-05
12,4.984423e-03,2.202111e-05
13,4.446079e-03,2.202111e-05
14,4.304856e-06,4.893598e-08
15,4.937685e-05,7.989520e-07
16,3.226618e-05,1.950566e-07
Total,,,
Latency (max),1.993769e-02,
Energy (sum),,7.318687e-04,
EDP, , ,1.459177e-05

OU Size: 4x104
layer,time_s,energy_J
1,8.986339e-04,4.275272e-06
2,1.917086e-02,9.120581e-05
3,9.585428e-03,4.560290e-05
4,1.917086e-02,9.120581e-05
5,9.585428e-03,4.560290e-05
