OU Size: 4x4
layer,time_s,energy_J
15,1.303000e-06,1.767506e-06
16,1.193750e-06,4.315200e-07
Total,,,
Latency (max),2.630667e-03,
Energy (sum),,1.619099e-03,
EDP, , ,6.474330e-03

OU Size: 4x100
layer,time_s,energy_J
1,1.183800e-04,9.429074e-06
2,2.525441e-03,2.011536e-04
3,1.262720e-03,1.005768e-04
4,2.525441e-03,2.011536e-04
5,1.262720e-03,1.005768e-04
6,1.545320e-03,2.011536e-04
7,2.525441e-03,2.011536e-04
8,8.865496e-04,1.005768e-04
9,8.974638e-04,2.011536e-04
10,9.049145e-04,2.011536e-04
11,2.224597e-04,5.028839e-05
12,2.218489e-04,5.028839e-05
13,2.244630e-04,5.028839e-05
14,1.090563e-07,1.117524e-07
15,1.250880e-06,1.824522e-06
16,1.146000e-06,4.454400e-07
Total,,,
Latency (max),2.525441e-03,
Energy (sum),,1.671328e-03,
EDP, , ,6.159218e-03

OU Size: 4x104
layer,time_s,energy_J
1,1.138270e-04,9.723732e-06
2,2.428308e-03,2.074396e-04
3,1.214154e-03,1.037198e-04
4,2.428308e-03,2.074396e-04
5,1.214154e-03,1.037198e-04
6,1.485885e-03,2.074396e-04
7,2.428308e-03,2.074396e-04
8,8.524515e-04,1.037198e-04
9,8.629460e-04,2.074396e-04
10,8.701101e-04,2.074396e-04
11,2.139036e-04,5.185991e-05
12,2.133163e-04,5.185991e-05
13,2.158298e-04,5.185991e-05
14,1.048619e-07,1.152446e-07
15,1.202769e-06,1.881539e-06
16,1.101923e-06,4.593600e-07
Total,,,
Latency (max),2.428308e-03,
Energy (sum),,1.723557e-03,
EDP, , ,5.872497e-03

OU Size: 4x108
layer,time_s,energy_J
1,1.096111e-04,1.001839e-05
2,2.338371e-03,2.137257e-04
3,1.169186e-03,1.068628e-04
4,2.338371e-03,2.137257e-04
5,1.169186e-03,1.068628e-04
6,1.430852e-03,2.137257e-04
7,2.338371e-03,2.137257e-04
8,8.208793e-04,1.068628e-04
9,8.309850e-04,2.137257e-04
10,8.378838e-04,2.137257e-04
11,2.059812e-04,5.343142e-05
12,2.054157e-04,5.343142e-05
13,2.078361e-04,5.343142e-05
14,1.009781e-07,1.187369e-07
15,1.158222e-06,1.938555e-06
16,1.061111e-06,4.732800e-07
Total,,,
Latency (max),2.338371e-03,
Energy (sum),,1.775786e-03,
EDP, , ,5.610570e-03

OU Size: 4x112
layer,time_s,energy_J
1,1.056965e-04,1.031305e-05
2,2.254858e-03,2.200117e-04
3,1.127429e-03,1.100059e-04
4,2.254858e-03,2.200117e-04
5,1.127429e-03,1.100059e-04
6,1.379750e-03,2.200117e-04
7,2.254858e-03,2.200117e-04
8,7.915621e-04,1.100059e-04
9,8.013070e-04,2.200117e-04
10,8.079594e-04,2.200117e-04
11,1.986247e-04,5.500293e-05
12,1.980794e-04,5.500293e-05
13,2.004134e-04,5.500293e-05
14,9.737174e-08,1.222292e-07
15,1.116857e-06,1.995571e-06
16,1.023215e-06,4.872000e-07
Total,,,
Latency (max),2.254858e-03,
Energy (sum),,1.828015e-03,
EDP, , ,5.370412e-03

OU Size: 4x116
layer,time_s,energy_J
1,1.020518e-04,1.060771e-05
2,2.177104e-03,2.262978e-04
3,1.088552e-03,1.131489e-04
4,2.177104e-03,2.262978e-04
5,1.088552e-03,1.131489e-04
6,1.332172e-03,2.262978e-04
7,2.177104e-03,2.262978e-04
8,7.642669e-04,1.131489e-04
