OU Size: 4x4
layer,time_s,energy_J
OU Size: 4x120
layer,time_s,energy_J
1,3.382287e-04,4.724020e-06
2,7.215545e-03,1.007791e-04
3,3.607773e-03,5.038955e-05
4,7.215545e-03,1.007791e-04
5,3.607773e-03,5.038955e-05
6,7.215545e-03,1.007791e-04
7,7.215545e-03,1.007791e-04
8,3.607773e-03,5.038955e-05
9,5.696107e-03,1.007791e-04
10,4.598484e-03,1.007791e-04
11,1.803886e-03,2.519477e-05
12,1.709002e-03,2.519477e-05
13,9.677344e-04,2.519477e-05
14,1.246358e-06,5.598858e-08
15,1.429577e-05,9.140961e-07
16,1.084959e-05,2.231680e-07
Total,,,
Latency (max),7.215545e-03,
Energy (sum),,8.373448e-04,
EDP, , ,6.041899e-06

OU Size: 4x124
layer,time_s,energy_J
1,3.273181e-04,4.876023e-06
2,6.982786e-03,1.040218e-04
3,3.491393e-03,5.201092e-05
4,6.982786e-03,1.040218e-04
5,3.491393e-03,5.201092e-05
6,6.982786e-03,1.040218e-04
7,6.982786e-03,1.040218e-04
8,3.491393e-03,5.201092e-05
9,5.512362e-03,1.040218e-04
10,4.450146e-03,1.040218e-04
11,1.745696e-03,2.600546e-05
12,1.653873e-03,2.600546e-05
13,9.365171e-04,2.600546e-05
14,1.206153e-06,5.779010e-08
15,1.383462e-05,9.435087e-07
16,1.049960e-05,2.303488e-07
Total,,,
Latency (max),6.982786e-03,
Energy (sum),,8.642878e-04,
EDP, , ,6.035136e-06

OU Size: 4x128
layer,time_s,energy_J
1,3.170894e-04,5.028027e-06
2,6.764573e-03,1.072646e-04
3,3.382287e-03,5.363228e-05
4,6.764573e-03,1.072646e-04
5,3.382287e-03,5.363228e-05
6,6.764573e-03,1.072646e-04
7,6.764573e-03,1.072646e-04
8,3.382287e-03,5.363228e-05
9,5.340100e-03,1.072646e-04
10,4.311079e-03,1.072646e-04
11,1.691143e-03,2.681614e-05
12,1.602190e-03,2.681614e-05
13,9.072510e-04,2.681614e-05
14,1.168461e-06,5.959163e-08
15,1.340229e-05,9.729212e-07
16,1.017149e-05,2.375296e-07
Total,,,
Latency (max),6.764573e-03,
Energy (sum),,8.912307e-04,
EDP, , ,6.028796e-06

OU Size: 4x132
layer,time_s,energy_J
1,3.074806e-04,5.180030e-06
2,6.559586e-03,1.105073e-04
3,3.279793e-03,5.525365e-05
4,6.559586e-03,1.105073e-04
5,3.279793e-03,5.525365e-05
6,6.559586e-03,1.105073e-04
7,6.559586e-03,1.105073e-04
8,3.279793e-03,5.525365e-05
9,5.178279e-03,1.105073e-04
10,4.180440e-03,1.105073e-04
11,1.639897e-03,2.762683e-05
12,1.553638e-03,2.762683e-05
13,8.797585e-04,2.762683e-05
14,1.133053e-06,6.139316e-08
15,1.299616e-05,1.002334e-06
16,9.863264e-06,2.447104e-07
Total,,,
Latency (max),6.559586e-03,
Energy (sum),,9.181737e-04,
EDP, , ,6.022840e-06

OU Size: 4x136
layer,time_s,energy_J
1,2.984371e-04,5.332033e-06
2,6.366657e-03,1.137500e-04
3,3.183329e-03,5.687502e-05
4,6.366657e-03,1.137500e-04
5,3.183329e-03,5.687502e-05
6,6.366657e-03,1.137500e-04
7,6.366657e-03,1.137500e-04
8,3.183329e-03,5.687502e-05
9,5.025977e-03,1.137500e-04
10,4.057486e-03,1.137500e-04
11,1.591664e-03,2.843751e-05
12,1.507943e-03,2.843751e-05
13,8.538833e-04,2.843751e-05
14,1.099728e-06,6.319468e-08
15,1.261392e-05,1.031746e-06
16,9.573168e-06,2.518912e-07
Total,,,
Latency (max),6.366657e-03,
Energy (sum),,9.451167e-04,
EDP, , ,6.017234e-06

OU Size: 4x140
layer,time_s,energy_J
1,2.899103e-04,5.484036e-06
2,6.184753e-03,1.169928e-04
3,3.092376e-03,5.849639e-05
4,6.184753e-03,1.169928e-04
5,3.092376e-03,5.849639e-05
6,6.184753e-03,1.169928e-04
7,6.184753e-03,1.169928e-04
8,3.092376e-03,5.849639e-05
9,4.882378e-03,1.169928e-04
10,3.941558e-03,1.169928e-04
11,1.546188e-03,2.924819e-05
12,1.464859e-03,2.924819e-05
13,8.294866e-04,2.924819e-05
14,1.068307e-06,6.499621e-08
15,1.225352e-05,1.061159e-06
16,9.299649e-06,2.590720e-07
Total,,,
Latency (max),6.184753e-03,
Energy (sum),,9.720596e-04,
EDP, , ,6.011949e-06

OU Size: 4x144
layer,time_s,energy_J
1,2.818572e-04,5.636039e-06
2,6.012954e-03,1.202355e-04
3,3.006477e-03,6.011775e-05
4,6.012954e-03,1.202355e-04
5,3.006477e-03,6.011775e-05
6,6.012954e-03,1.202355e-04
7,6.012954e-03,1.202355e-04
8,3.006477e-03,6.011775e-05
9,4.746756e-03,1.202355e-04
10,3.832070e-03,1.202355e-04
11,1.503239e-03,3.005888e-05
12,1.424169e-03,3.005888e-05
13,8.064453e-04,3.005888e-05
14,1.038632e-06,6.679773e-08
15,1.191314e-05,1.090571e-06
16,9.041325e-06,2.662528e-07
Total,,,
Latency (max),6.012954e-03,
Energy (sum),,9.990026e-04,
EDP, , ,6.006957e-06

OU Size: 4x148
layer,time_s,energy_J
1,2.742395e-04,5.788042e-06
2,5.850442e-03,1.234782e-04
3,2.925221e-03,6.173912e-05
4,5.850442e-03,1.234782e-04
5,2.925221e-03,6.173912e-05
6,5.850442e-03,1.234782e-04
7,5.850442e-03,1.234782e-04
8,2.925221e-03,6.173912e-05
9,4.618465e-03,1.234782e-04
10,3.728501e-03,1.234782e-04
11,1.462610e-03,3.086956e-05
12,1.385677e-03,3.086956e-05
13,7.846495e-04,3.086956e-05
14,1.010561e-06,6.859926e-08
15,1.159117e-05,1.119984e-06
16,8.796965e-06,2.734336e-07
Total,,,
Latency (max),5.850442e-03,
Energy (sum),,1.025946e-03,
EDP, , ,6.002235e-06

OU Size: 4x152
layer,time_s,energy_J
1,2.670226e-04,5.940046e-06
2,5.696483e-03,1.267210e-04
3,2.848241e-03,6.336049e-05
4,5.696483e-03,1.267210e-04
5,2.848241e-03,6.336049e-05
6,5.696483e-03,1.267210e-04
7,5.696483e-03,1.267210e-04
8,2.848241e-03,6.336049e-05
9,4.496927e-03,1.267210e-04
10,3.630382e-03,1.267210e-04
11,1.424121e-03,3.168024e-05
12,1.349212e-03,3.168024e-05
13,7.640008e-04,3.168024e-05
14,9.839670e-07,7.040078e-08
15,1.128614e-05,1.149397e-06
16,8.565466e-06,2.806144e-07
Total,,,
Latency (max),5.696483e-03,
Energy (sum),,1.052888e-03,
EDP, , ,5.997761e-06

OU Size: 4x156
layer,time_s,energy_J
1,2.601759e-04,6.092049e-06
2,5.550419e-03,1.299637e-04
3,2.775210e-03,6.498185e-05
4,5.550419e-03,1.299637e-04
