Rows,Cols,Latency,Energy,EDP
28,88,4.099742e-04,3.708259e-03,3.601409e-04
28,92,3.921492e-04,3.760488e-03,3.341461e-04
28,96,3.758096e-04,3.812717e-03,3.111429e-04
28,100,3.607773e-04,3.864946e-03,2.906774e-04
28,104,3.469012e-04,3.917175e-03,2.723793e-04
28,108,3.340530e-04,3.969404e-03,2.559444e-04
28,112,3.221225e-04,4.021633e-03,2.411205e-04
28,116,3.110149e-04,4.073862e-03,2.276974e-04
28,120,3.006477e-04,4.126091e-03,2.154984e-04
28,124,2.909494e-04,4.178319e-03,2.043742e-04
28,128,2.818572e-04,4.230548e-03,1.941979e-04
32,4,7.892002e-03,2.977053e-03,1.071397e-01
32,8,3.946001e-03,3.029282e-03,2.725484e-02
32,12,2.630667e-03,3.081511e-03,1.232211e-02
32,16,1.973001e-03,3.133740e-03,7.048665e-03
32,20,1.578400e-03,3.185969e-03,4.586331e-03
32,24,1.315334e-03,3.238198e-03,3.237165e-03
32,28,1.127429e-03,3.290427e-03,2.416685e-03
32,32,9.865003e-04,3.342656e-03,1.879644e-03
32,36,8.768892e-04,3.394885e-03,1.508356e-03
32,40,7.892002e-04,3.447114e-03,1.240565e-03
32,44,7.174548e-04,3.499343e-03,1.040795e-03
32,48,6.576669e-04,3.551572e-03,8.876097e-04
32,52,6.070771e-04,3.603801e-03,7.674286e-04
32,56,5.637145e-04,3.656030e-03,6.713014e-04
32,60,5.261335e-04,3.708259e-03,5.931321e-04
32,64,4.932502e-04,3.760488e-03,5.286499e-04
32,68,4.642354e-04,3.812717e-03,4.747890e-04
32,72,4.384446e-04,3.864946e-03,4.293014e-04
32,76,4.153685e-04,3.917175e-03,3.905078e-04
32,80,3.946001e-04,3.969404e-03,3.571324e-04
32,84,3.758096e-04,4.021633e-03,3.281918e-04
32,88,3.587274e-04,4.073862e-03,3.029178e-04
32,92,3.431305e-04,4.126091e-03,2.807030e-04
32,96,3.288334e-04,4.178319e-03,2.610617e-04
32,100,3.156801e-04,4.230548e-03,2.436019e-04
