Layer: 1, Crossbars required: 1
OU Row: 56, OU Col: 4, OU required: 74, Latency: 385050.86075210734, Energy: 21562848.20211801, Power Density: 0.00 W, TOPS: 1.04e-02, EPM: 1.50e-14
OU Row: 56, OU Col: 8, OU required: 37, Latency: 385050.86075210734, Energy: 21562848.20211801, Power Density: 0.00 W, TOPS: 2.07e-02, EPM: 1.50e-14
OU Row: 56, OU Col: 12, OU required: 25, Latency: 390254.250762271, Energy: 21854238.042687178, Power Density: 0.00 W, TOPS: 3.11e-02, EPM: 1.50e-14
OU Row: 56, OU Col: 16, OU required: 19, Latency: 395457.6407724346, Energy: 22145627.88325634, Power Density: 0.00 W, TOPS: 4.14e-02, EPM: 1.50e-14
OU Row: 56, OU Col: 20, OU required: 15, Latency: 390254.250762271, Energy: 21854238.042687178, Power Density: 0.00 W, TOPS: 5.18e-02, EPM: 1.51e-14
OU Row: 56, OU Col: 24, OU required: 13, Latency: 405864.42079276184, Energy: 22728407.564394664, Power Density: 0.00 W, TOPS: 6.22e-02, EPM: 1.51e-14
OU Row: 56, OU Col: 28, OU required: 11, Latency: 400661.0307825982, Energy: 22437017.7238255, Power Density: 0.00 W, TOPS: 7.25e-02, EPM: 1.51e-14
OU Row: 56, OU Col: 32, OU required: 10, Latency: 416271.20081308903, Energy: 23311187.245532986, Power Density: 0.00 W, TOPS: 8.29e-02, EPM: 1.51e-14
OU Row: 60, OU Col: 4, OU required: 69, Latency: 391272.4330531083, Energy: 23476345.9831865, Power Density: 0.00 W, TOPS: 1.11e-02, EPM: 1.60e-14
OU Row: 60, OU Col: 8, OU required: 35, Latency: 396943.04802489246, Energy: 23816582.881493546, Power Density: 0.00 W, TOPS: 2.22e-02, EPM: 1.61e-14
OU Row: 60, OU Col: 12, OU required: 23, Latency: 391272.4330531082, Energy: 23476345.983186495, Power Density: 0.00 W, TOPS: 3.33e-02, EPM: 1.61e-14
OU Row: 60, OU Col: 16, OU required: 18, Latency: 408284.2779684608, Energy: 24497056.67810765, Power Density: 0.00 W, TOPS: 4.44e-02, EPM: 1.61e-14
OU Row: 60, OU Col: 20, OU required: 14, Latency: 396943.04802489246, Energy: 23816582.881493546, Power Density: 0.00 W, TOPS: 5.55e-02, EPM: 1.61e-14
OU Row: 60, OU Col: 24, OU required: 12, Latency: 408284.2779684608, Energy: 24497056.67810765, Power Density: 0.00 W, TOPS: 6.66e-02, EPM: 1.61e-14
OU Row: 60, OU Col: 28, OU required: 10, Latency: 396943.04802489246, Energy: 23816582.881493546, Power Density: 0.00 W, TOPS: 7.77e-02, EPM: 1.62e-14
OU Row: 60, OU Col: 32, OU required: 9, Latency: 408284.2779684608, Energy: 24497056.67810765, Power Density: 0.00 W, TOPS: 8.88e-02, EPM: 1.62e-14
OU Row: 64, OU Col: 4, OU required: 64, Latency: 393216.0, Energy: 25165824.0, Power Density: 0.00 W, TOPS: 1.18e-02, EPM: 1.71e-14
OU Row: 64, OU Col: 8, OU required: 32, Latency: 393216.0, Energy: 25165824.0, Power Density: 0.00 W, TOPS: 2.37e-02, EPM: 1.71e-14
OU Row: 64, OU Col: 12, OU required: 22, Latency: 405504.0, Energy: 25952256.0, Power Density: 0.00 W, TOPS: 3.55e-02, EPM: 1.72e-14
OU Row: 64, OU Col: 16, OU required: 16, Latency: 393216.0, Energy: 25165824.0, Power Density: 0.00 W, TOPS: 4.74e-02, EPM: 1.72e-14
OU Row: 64, OU Col: 20, OU required: 13, Latency: 399360.0, Energy: 25559040.0, Power Density: 0.00 W, TOPS: 5.92e-02, EPM: 1.72e-14
OU Row: 64, OU Col: 24, OU required: 11, Latency: 405504.0, Energy: 25952256.0, Power Density: 0.00 W, TOPS: 7.11e-02, EPM: 1.72e-14
OU Row: 64, OU Col: 28, OU required: 10, Latency: 430080.0, Energy: 27525120.0, Power Density: 0.00 W, TOPS: 8.29e-02, EPM: 1.72e-14
OU Row: 64, OU Col: 32, OU required: 8, Latency: 393216.0, Energy: 25165824.0, Power Density: 0.00 W, TOPS: 9.47e-02, EPM: 1.73e-14
OU Row: 68, OU Col: 4, OU required: 61, Latency: 404012.7338481025, Energy: 27472865.90167097, Power Density: 0.00 W, TOPS: 1.26e-02, EPM: 1.82e-14
OU Row: 68, OU Col: 8, OU required: 31, Latency: 410635.89341938286, Energy: 27923240.752518035, Power Density: 0.00 W, TOPS: 2.52e-02, EPM: 1.82e-14
OU Row: 68, OU Col: 12, OU required: 21, Latency: 417259.0529906633, Energy: 28373615.6033651, Power Density: 0.00 W, TOPS: 3.77e-02, EPM: 1.82e-14
OU Row: 68, OU Col: 16, OU required: 16, Latency: 423882.2125619436, Energy: 28823990.454212166, Power Density: 0.00 W, TOPS: 5.03e-02, EPM: 1.82e-14
OU Row: 68, OU Col: 20, OU required: 13, Latency: 430505.3721332239, Energy: 29274365.305059228, Power Density: 0.00 W, TOPS: 6.29e-02, EPM: 1.83e-14
OU Row: 68, OU Col: 24, OU required: 11, Latency: 437128.5317045044, Energy: 29724740.155906297, Power Density: 0.00 W, TOPS: 7.55e-02, EPM: 1.83e-14
OU Row: 68, OU Col: 28, OU required: 9, Latency: 417259.0529906633, Energy: 28373615.6033651, Power Density: 0.00 W, TOPS: 8.81e-02, EPM: 1.83e-14
OU Row: 68, OU Col: 32, OU required: 8, Latency: 423882.2125619436, Energy: 28823990.454212166, Power Density: 0.00 W, TOPS: 1.01e-01, EPM: 1.83e-14
OU Row: 72, OU Col: 4, OU required: 57, Latency: 405141.95529470796, Energy: 29170220.781218972, Power Density: 0.00 W, TOPS: 1.33e-02, EPM: 1.92e-14
OU Row: 72, OU Col: 8, OU required: 29, Latency: 412249.7088963695, Energy: 29681979.040538605, Power Density: 0.00 W, TOPS: 2.66e-02, EPM: 1.93e-14
OU Row: 72, OU Col: 12, OU required: 19, Latency: 405141.955294708, Energy: 29170220.781218976, Power Density: 0.00 W, TOPS: 4.00e-02, EPM: 1.93e-14
OU Row: 72, OU Col: 16, OU required: 15, Latency: 426465.21609969257, Energy: 30705495.559177864, Power Density: 0.00 W, TOPS: 5.33e-02, EPM: 1.93e-14
OU Row: 72, OU Col: 20, OU required: 12, Latency: 426465.2160996926, Energy: 30705495.559177868, Power Density: 0.00 W, TOPS: 6.66e-02, EPM: 1.93e-14
OU Row: 72, OU Col: 24, OU required: 10, Latency: 426465.2160996926, Energy: 30705495.559177868, Power Density: 0.00 W, TOPS: 7.99e-02, EPM: 1.93e-14
OU Row: 72, OU Col: 28, OU required: 9, Latency: 447788.4769046772, Energy: 32240770.33713676, Power Density: 0.00 W, TOPS: 9.33e-02, EPM: 1.94e-14
OU Row: 72, OU Col: 32, OU required: 8, Latency: 454896.23050633876, Energy: 32752528.59645639, Power Density: 0.00 W, TOPS: 1.07e-01, EPM: 1.94e-14
OU Row: 76, OU Col: 4, OU required: 54, Latency: 410263.9122427596, Energy: 31180057.33044973, Power Density: 0.00 W, TOPS: 1.41e-02, EPM: 2.03e-14
OU Row: 76, OU Col: 8, OU required: 27, Latency: 410263.9122427596, Energy: 31180057.33044973, Power Density: 0.00 W, TOPS: 2.81e-02, EPM: 2.03e-14
OU Row: 76, OU Col: 12, OU required: 18, Latency: 410263.9122427596, Energy: 31180057.33044973, Power Density: 0.00 W, TOPS: 4.22e-02, EPM: 2.04e-14
